TF	Total genes	Activados	Reprimidos	Tipo de efecto regulatorio	Lista de genes
NsrR	86	2	84	Dual	aceE, aceF, bamE, bdcA, cdd, dkgB, dsdC, feaB, feaR, fhlA, fliA, fliZ, grxD, hcp, hcr, hmp, hycA, hycB, hycC, hycD, hycE, hycF, hycG, hycH, hycI, hypA, hypB, hypC, hypD, hypE, ihfA, infC, lrp, mepH, mhpT, moeA, moeB, ndh, norR, nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, pgpC, pheM, pheS, pheT, poxB, rffC, rffG, rffH, rffM, rplT, rpmI, rybB, sodB, sufA, sufB, sufC, sufD, sufE, sufS, tadA, tcyJ, tehA, tehB, thrS, tsgA, waaH, wecA, wecB, wecC, wecE, wecF, wzxE, wzyE, wzzE, ydbD, yeaE, yeaR, ygbA, yoaG, ytfE
NtrC	52	51	8	Dual	amtB, argT, astA, astB, astC, astD, astE, cbl, ddpA, ddpB, ddpC, ddpD, ddpF, ddpX, glnA, glnG, glnH, glnK, glnL, glnP, glnQ, glnZ, hisJ, hisM, hisP, hisQ, nac, patA, potF, potG, potH, potI, relA, rpoE, rseA, rseB, rseC, rseD, rutA, rutB, rutC, rutD, rutE, rutF, rutG, yeaE, yeaG, yeaH, yhdW, yhdX, yhdY, yhdZ
OhsC	1	0	1	Represor	shoB
OmpR	57	30	28	Dual	acrR, alx, bolA, cadA, cadB, cadC, copA, csgD, csgE, csgF, csgG, csgI, dtpA, ecnB, exoX, fadE, fadL, feoA, feoB, feoC, flhC, flhD, galP, gmhA, htpX, lpp, malE, micF, narU, narV, narW, narY, narZ, nmpC, nuoN, ompC, ompF, ompX, omrA, omrB, pdhR, pgaA, pgaB, pgaC, pgaD, potE, queE, rhtA, rob, speF, speFL, sra, sstT, tolC, tsgA, yobB, znuA
OmrA	12	0	12	Represor	cirA, csgD, csgE, csgF, csgG, dgcM, fepA, flgM, flhC, flhD, ompR, ompT
OmrB	12	0	12	Represor	cirA, csgD, csgE, csgF, csgG, dgcM, fepA, flgM, flhC, flhD, ompR, ompT
OxyR	45	33	13	Dual	ahpC, ahpF, ccp, dps, dsbG, elaB, fhuF, flu, fur, gntP, gor, grxA, hcp, hcr, hemF, hemH, isrC, katG, metE, metR, mntH, nfsA, oxyR, oxyS, poxB, rimK, sufA, sufB, sufC, sufD, sufE, sufS, trxC, uof, uxuA, uxuB, xthA, ybjC, ybjN, ychF, yjjZ, zinT, znuA, znuB, znuC
OxyS	10	4	6	Dual	fhlA, flhC, flhD, iscA, iscR, iscS, iscU, mepS, nusG, rpoS
PaaX	14	0	14	Represor	paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, paaX, paaY, paaZ
PdeL	9	2	7	Dual	fliF, fliG, fliH, fliI, fliJ, fliK, pdeL, wecA, yghJ
PdhR	54	16	38	Dual	aceE, aceF, acpP, cyoA, cyoB, cyoC, cyoD, cyoE, ddlB, fadE, fadH, fadL, fadM, fecA, fecB, fecC, fecD, fecE, ftsA, ftsI, ftsL, ftsO, ftsQ, ftsW, ftsZ, fumD, glcA, glcB, glcD, glcE, glcF, glcG, gmhA, grcA, hemL, hha, lldP, lpd, lpxC, mraY, mraZ, murC, murD, murE, murF, murG, ndh, pdhR, ppsA, ppsR, rsmH, tomB, ybcV, ybcW
PepA	3	0	3	Represor	carA, carB, pepA
PgrR	9	0	9	Represor	mpaA, mppA, tyrR, ycjF, ycjG, ycjX, ycjY, ymjC, ymjD
PhoB	65	57	13	Dual	adiC, agp, amn, argP, asr, cra, cusA, cusB, cusC, cusF, cusR, cusS, eda, feaR, gadW, gadX, hiuH, mipA, msrP, msrQ, ompF, phnC, phnD, phnE1, phnF, phnG, phnH, phnI, phnJ, phnK, phnL, phnM, phnN, phnO, phnP, phoA, phoB, phoE, phoH, phoQ, phoR, phoU, pitB, prpR, psiE, psiF, pstA, pstB, pstC, pstS, rcdB, rspR, sbcC, sbcD, tktB, ugpA, ugpB, ugpC, ugpE, ugpQ, waaH, yegH, yibT, yoaI, ytfK
PhoP	60	49	14	Dual	acrA, acrB, argD, borD, clpS, cysB, dcuD, fadL, gadE, gadF, gadW, glgA, glgB, glgC, glgP, glgX, hdeA, hdeB, hdeD, hemL, iraM, malS, metB, metL, mgrB, mgrR, mgtA, mgtL, mgtS, nagA, ompT, pagP, phoP, phoQ, purD, purH, queE, rmf, rsd, rstA, rstB, rutA, rutB, rutC, rutD, rutE, rutF, rutG, ryjB, safA, slyB, tolC, treR, ybjG, ydeO, ydeP, ygiB, ygiC, yhiD, yrbL
PlaR	14	0	14	Represor	eda, glpA, glpT, lyxK, plaR, sgbE, sgbH, sgbU, ygjV, yiaK, yiaL, yiaM, yiaN, yiaO
Pnp	1	0	1	Represor	pnp
PrpR	5	4	1	Dual	prpB, prpC, prpD, prpE, prpR
PspF	8	7	1	Dual	pspA, pspB, pspC, pspD, pspE, pspF, pspG, pspH
PtrR	13	6	7	Dual	acrA, acrB, acrR, gabD, gadA, gadB, glsB, puuA, puuB, puuC, puuE, sad, yneG
PunR	1	1	0	Activador	punC
PurR	32	0	32	Represor	carA, carB, codA, codB, cvpA, gcvH, gcvP, gcvT, glnB, glyA, guaA, guaB, hflD, prs, purA, purB, purC, purD, purE, purF, purH, purK, purL, purM, purN, purR, purT, pyrC, pyrD, speA, speB, ubiX
PutA	2	0	2	Represor	putA, putP
PuuR	8	0	8	Represor	puuA, puuB, puuC, puuD, puuE, puuP, puuR, ymjE
PyrR	1	1	0	Activador	yhjX
QseB	14	13	2	Dual	dnaA, feaR, fimA, fimC, fimD, fimF, fimG, fimH, fimI, fimR2, flhC, flhD, qseB, qseC
RacR	6	0	6	Represor	rzpR, ydaS, ydaT, ydaU, ydaV, ydaW
RalA	1	0	1	Represor	ralR
RbsR	12	3	9	Dual	add, dcd, purD, purH, rbsA, rbsB, rbsC, rbsD, rbsK, rbsR, rbsZ, udk
RcdA	14	10	4	Dual	asr, bluF, csgD, csgE, csgF, csgG, rcdA, rmf, rsd, sulA, yagK, ybjI, ybjJ, ydeI
RclR	3	3	0	Activador	rclA, rclB, rclC
RcnR	3	0	3	Represor	rcnA, rcnB, rcnR
RcsAB	16	10	6	Dual	csgD, csgE, csgF, csgG, flhC, flhD, rcsA, wcaA, wcaB, wza, wzb, wzc, yjbE, yjbF, yjbG, yjbH
RcsB	26	24	2	Dual	bdm, ftsA, ftsZ, gadA, gadB, gadC, gadX, gadY, hdeA, hdeB, hdeD, lolA, osmB, osmC, rarA, rpoE, rprA, rseA, rseB, rseC, rseD, safA, sra, ydeO, ydeP, yhiD
RcsB-BglJ	16	16	0	Activador	bglB, bglF, bglG, leuO, sfsB, yecT, yehF, ygiZ, yidL, ykiA, ynbA, ynbB, ynbC, ynbD, ynjI, yqhG
RelB	3	0	3	Represor	hokD, relB, relE
RelBE	3	0	3	Represor	hokD, relB, relE
RhaR	2	2	0	Activador	rhaR, rhaS
RhaS	6	6	0	Activador	rhaA, rhaB, rhaD, rhaR, rhaS, rhaT
Rob	52	40	12	Dual	acnA, acrA, acrB, acrZ, acs, actP, aldA, aslB, astC, chaC, dapD, elaB, fadA, fadB, fadD, fadL, fumC, glgS, glnD, inaA, ldtB, lpxL, map, marA, marB, marR, mdaB, mdtD, micF, mltF, narG, nfo, nfsA, nfsB, rimK, rob, sodA, tolC, waaY, waaZ, yacH, ybiT, ybjC, ybjN, ydcL, ygiB, ygiC, yhbO, yhbW, yiaG, yjcH, zwf
RplA	6	0	6	Represor	rplA, rplJ, rplK, rplL, rpoB, rpoC
RplD	1	0	1	Represor	tnaA
RplM	2	0	2	Represor	rplM, rpsI
RplT	2	0	2	Represor	rplT, rpmI
RplY	1	0	1	Represor	rplY
RpmE	1	0	1	Represor	rpmE
RpoN	6	0	6	Represor	cspC, fadL, mutM, nth, yfcZ, yobF
RprA	9	1	8	Dual	csgD, csgE, csgF, csgG, dgcM, hdeD, lrhA, narP, rpoS
RpsA	5	4	1	Dual	fis, manY, pnp, rpsA, rpsO
RpsB	3	0	3	Represor	rpsB, tff, tsf
RpsD	4	0	4	Represor	rplQ, rpsD, rpsK, rpsM
RpsG	4	0	4	Represor	fusA, rpsG, rpsL, tufA
RpsH	12	0	12	Represor	rplE, rplF, rplN, rplO, rplR, rplX, rpmD, rpmJ, rpsE, rpsH, rpsN, secY
RpsO	1	0	1	Represor	rpsO
RseX	4	0	4	Represor	fimB, ihfB, ompA, ompC
RstA	10	5	5	Dual	asr, csgD, csgE, csgF, csgG, narG, narH, narI, narJ, ompF
RtcR	2	2	0	Activador	rtcA, rtcB
RutR	17	2	15	Dual	carA, carB, fepB, gadW, gadX, gloA, nemA, nemR, pdeR, rutA, rutB, rutC, rutD, rutE, rutF, rutG, rutR
RybB	15	1	14	Dual	csgD, csgE, csgF, csgG, fadL, fiu, maoP, nmpC, ompC, ompF, ompW, rbsB, rluD, sdhC, tsx
RydC	12	7	5	Dual	cfa, csgD, csgE, csgF, csgG, pheA, trpA, trpB, trpC, trpD, trpE, trpL
RyhB	45	2	43	Dual	acnB, b0725, bfr, cirA, cysE, erpA, fumA, fur, grxD, hemB, hemH, iscA, iscR, iscS, iscU, marA, msrB, nirB, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, sdhA, sdhB, sdhC, sdhD, sdhX, shiA, sodA, sodB, sucA, sucB, sucC, sucD, uof, yieP
S6:S18 ribosomal subunit complex	4	0	4	Represor	priB, rplI, rpsF, rpsR
SdhX	6	0	6	Represor	ackA, fdhE, fdoG, fdoH, fdoI, katG
SdiA	8	6	3	Dual	ftsA, ftsQ, ftsZ, gadW, gadY, rflP, rmf, rsd
SdsN	3	0	3	Represor	hmp, narP, nfsA
SdsR	5	0	5	Represor	mutS, tolC, yeaG, yeaH, yhcB
SelB-L-selenocysteinyl-tRNA<sup>sec</sup>	2	0	2	Represor	selA, selB
SgrR	9	4	5	Dual	alaC, setA, sgrR, sgrS, sgrT, sroA, thiB, thiP, thiQ
SgrS	10	1	9	Dual	adiY, asd, folE, manX, manY, manZ, ptsG, purR, yeiB, yigL
SibC	1	0	1	Represor	ibsC
SlyA	48	39	9	Dual	cas1, cas2, casA, casB, casC, casD, casE, elfA, fecI, fecR, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, gspM, gspO, hlyE, leuO, mdtM, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, pagP, rmf, rsd, sgcA, sgcB, sgcC, sgcE, sgcQ, sgcR, sgcX, slyA, yjiN
SoxR	8	7	1	Dual	aroF, fumC, sodA, soxR, soxS, tyrA, yjcB, yrbL
SoxS	54	50	4	Dual	acnA, acrA, acrB, acrZ, aldA, cadA, dapD, decR, fldA, fldB, fpr, fumC, fur, glnD, inaA, lpxC, lpxL, map, marA, marB, marR, mdaB, micF, nepI, nfo, nfsA, nfsB, ompN, ompW, pbpG, pgi, poxB, pqiA, pqiB, pqiC, ptsG, ribA, rimK, rob, sodA, soxS, tolC, uof, waaY, waaZ, ybjC, ybjN, ydbK, ygiB, ygiC, yhbW, yrbL, zinT, zwf
Spf	27	2	25	Dual	araF, ascF, atoD, caiA, dppB, ebgC, fucI, fucK, fucP, galK, gdhA, glpF, gltA, gss, lldP, maeA, nanC, nanT, paaK, puuE, sdhC, srlA, sthA, sucC, xylF, yjiA, ytfJ
SraG	1	0	1	Represor	pnp
SrlR	7	0	7	Represor	gutM, gutQ, srlA, srlB, srlD, srlE, srlR
SrsR	38	38	0	Activador	adhE, bluR, cdgI, dhaK, dhaL, dhaM, dinJ, fucA, fucI, fucK, fucO, fucP, fucR, fucU, hycB, narZ, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, paaZ, pflB, yafL, yafQ, yfdK, yfdL, yfdM, yfdN, yfdO, yfdP, yfdQ
StfZ	1	0	1	Represor	ftsZ
StpA	21	11	10	Dual	bglB, bglF, bglG, cas1, cas2, casA, casB, casC, casD, casE, fau, leuO, malE, malF, malG, malH, proV, proW, proX, ssrS, stpA
SutR	8	2	7	Dual	cysE, fliA, fliZ, pfkB, sutR, tcyJ, ydcO, ypfN
SymR	1	0	1	Represor	symE
TdcA	7	7	0	Activador	tdcA, tdcB, tdcC, tdcD, tdcE, tdcF, tdcG
TdcR	7	7	0	Activador	tdcA, tdcB, tdcC, tdcD, tdcE, tdcF, tdcG
TorR	21	20	3	Dual	adiA, adiC, gadA, gadB, gadC, gadE, gadX, hdeA, hdeB, mdtE, mdtF, rpoS, slp, tnaA, tnaB, tnaC, torA, torC, torD, torR, yhiD
TreR	2	0	2	Represor	treB, treC
TrpR	12	0	12	Represor	aroH, aroL, aroM, mtr, trpA, trpB, trpC, trpD, trpE, trpL, trpR, yaiA
TyrR	12	3	10	Dual	aroF, aroG, aroL, aroM, aroP, folA, mtr, tyrA, tyrB, tyrP, tyrR, yaiA
UhpA	2	2	0	Activador	uhpT, uhpU
UhpU	2	1	1	Dual	fliC, lrhA
UidR	4	0	4	Represor	uidA, uidB, uidC, uidR
UlaR	7	0	7	Represor	ulaA, ulaB, ulaC, ulaD, ulaE, ulaF, ulaG
UvrY	6	6	0	Activador	csrB, csrC, luxS, uhpT, uhpU, ydeP
UxuR	11	0	11	Represor	exuR, fliC, gntP, lgoD, lgoR, uidA, uidB, uidC, uxuA, uxuB, uxuR
XapR	2	2	0	Activador	xapA, xapB
XylR	9	8	1	Dual	araC, xylA, xylB, xylE, xylF, xylG, xylH, xylR, xylZ
XynR	5	0	5	Represor	insX, yagA, yagB, yagE, yagF
YafC	1	1	0	Activador	cysJ
YciT	4	2	2	Dual	bsmA, cusF, rdcA, ybiY
YcjW	12	0	12	Represor	ompG, ycjM, ycjN, ycjO, ycjP, ycjQ, ycjR, ycjS, ycjT, ycjU, ycjV, ymjB
YdaT	1	1	0	Activador	rcsA
YdcI	5	5	0	Activador	flu, gadB, iraP, isrC, smrB
YdeO	24	21	3	Dual	adiA, appA, appB, appC, appX, dctR, gadB, gadE, gadF, gadW, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, mdtE, mdtF, nhaR, safA, slp, uspD, ydeO, yiiS
YdfH	2	0	2	Represor	rspA, rspB
YdiP	2	2	0	Activador	cspA, cspE
YebK	1	0	1	Represor	yebK
YefM	2	0	2	Represor	yefM, yoeB
YefMB	2	0	2	Represor	yefM, yoeB
YegW	3	0	3	Represor	yegT, yegU, yegV
YeiE	15	4	11	Dual	argO, cysJ, dcuC, ftp, gltF, infA, mdtF, pflB, putA, sodC, ssuA, uspF, ydcT, yibQ, yoaC
YeiL	1	1	0	Activador	yeiL
YfeC	6	1	5	Dual	hybE, rpmB, rpmH, rpsU, yfeC, ygdR
YgaV	4	4	0	Activador	cirA, fhuE, fhuF, nfeF
YgbI	2	0	2	Represor	ygbJ, ygbK
YgiV	1	0	1	Represor	mcbR
YhaJ	8	8	0	Activador	bssS, ybiJ, ygiD, yhaJ, yhaK, yhaL, yhhW, yqjF
YiaU	6	6	0	Activador	adeP, gltD, waaP, yiaT, yiaV, yiaW
YidZ	4	0	4	Represor	malE, ppiC, rbsD, rof
YieP	7	2	5	Dual	cusA, dauA, rydC, ybiX, yieP, ykgE, yohJ
YjjQ	10	0	10	Represor	dgcN, flhC, flhD, gfcA, ompC, ybhL, yciX, yfiB, yfiR, ymiA
YqhC	2	2	0	Activador	dkgA, yqhD
YrdG	1	0	1	Represor	mscL
ZntR	3	1	3	Dual	rmf, rsd, zntA
ZraR	28	25	3	Dual	acrE, cpxP, cspA, cspB, exuR, fhuA, fliA, gadW, glnA, glnH, mdtL, mgtA, pnp, raiA, rfaD, rmf, rpoH, sspA, ssrA, tnaA, tnaB, yhdW, yhhY, yjjY, yrdD, zraP, zraR, zraS
Zur	7	0	7	Represor	pliG, ykgM, ykgO, zinT, znuA, znuB, znuC
acetyl-CoA carboxyltransferase	2	0	2	Represor	accA, accD
carbon storage regulator CsrA	14	0	14	Represor	acnA, dgcT, dgcZ, evgA, glgA, glgC, glgP, glgS, nhaR, pgaA, pgaB, pgaC, pgaD, sdiA
ppGpp	308	196	114	Dual	acnA, adhP, agp, aidB, alaT, alaU, alaV, argH, argI, argS, argT, argX, ariR, aroM, blc, bolA, cadA, cbpA, cbpM, cfa, clsB, crp, csgD, csgE, csgF, csgG, csgI, cspA, cspD, csrA, csrB, csrC, curA, cysQ, dacC, dkgA, dksA, dnaA, dnaN, dps, dtpB, dusB, ecnB, efp, elaB, fadD, fadL, fbaB, fimB, fis, fkpA, flu, folK, frr, ftsA, ftsK, ftsQ, ftsZ, gabD, gabP, gabT, gadA, gadB, gadC, gadE, gadF, gadX, ggt, glaH, glgA, glgC, glgP, glgS, glnU, glnV, glnW, glnX, glsA, gltT, gltU, gltV, gltW, gluQ, glyT, grxB, hchA, hdeA, hdeB, hdeD, hisJ, hisM, hisP, hisQ, hisR, hmp, hns, idlP, ileT, ileU, ileV, ilvA, ilvB, ilvD, ilvE, ilvG, ilvH, ilvI, ilvL, ilvM, ilvN, ilvX, infA, iraD, iraP, isrC, ivbL, katE, kbp, ldtE, leuA, leuB, leuC, leuD, leuL, leuO, leuT, leuV, leuW, leuX, lhgD, livJ, lrp, lysS, mazE, mazF, mazG, mdtE, mdtF, metT, metU, metV, metW, metZ, mioC, mnmG, msyB, narU, osmB, osmC, osmF, osmY, otsA, otsB, patA, pcnB, phr, pnp, poxB, prfB, prfC, priB, proM, pth, pyrB, pyrI, pyrL, qorA, queA, recF, relA, rluC, rmf, rnpA, rplI, rpmE, rpmH, rpoE, rpoS, rpsB, rpsF, rpsO, rpsR, rrfA, rrfB, rrfC, rrfD, rrfE, rrfF, rrfG, rrfH, rrlA, rrlB, rrlC, rrlD, rrlE, rrlG, rrlH, rrsA, rrsB, rrsC, rrsD, rrsE, rrsG, rrsH, rseA, rseB, rseC, rsmG, rssB, serW, setA, sgrR, sgrS, sgrT, sodC, speC, sra, sroA, sroD, sufA, sufB, sufC, sufD, sufE, sufS, talA, tam, tff, tgt, thiB, thiP, thiQ, thrA, thrB, thrC, thrL, thrT, thrU, thrV, tktB, tpr, treA, treF, trxA, tsf, tufB, tyrT, tyrU, tyrV, uspA, uspB, uspC, uspD, uspE, wrbA, yahO, yaiA, yajC, yajO, ybaA, ybaT, ybdK, ybeL, ybgA, ybgS, ybhN, ybhP, ybjP, ycaP, yccJ, yccU, ycgB, ychF, ychH, ydcK, ydcL, yeaG, yeaH, yeaQ, yebF, yebV, yedP, yegP, yehE, yehW, yehX, yehY, yfcZ, yghA, yhbO, yhcO, yhhA, yhiD, yiaG, yiiS, yjbJ, yjfY, yjgH, ynfD, yniA, yoaC, yohC, yojI, yqaE, yqjF, ysgA, ytiC, ytiD
ribonuclease E	1	0	1	Represor	rne
small heat shock protein IbpA	2	0	2	Represor	ibpA, ibpB
threonine&mdash;tRNA ligase	1	0	1	Represor	thrS
